INCIDENT_NUMBER,SR_CREATION_CHANNEL,INCIDENT_ADDRESS,STATUS,GROUP_NAME,NAME,INCIDENT_DATE,ATTRIBUTE5,ATTRIBUTE6
319422,AGENT,PALMERSTON VILLAS RATHMINES 9,CLOSED,South East Area Office,Illegal Dumping,21/10/2011,715865.45,730725.23
324858,AGENT,SUNDRIVE ROAD CRUMLIN 150,CLOSED,South Central Area Office,Illegal Dumping,02/11/2011,713481.27,731865.10
324660,AGENT,SHANOWEN ROAD SANTRY 192,CLOSED,North West Area Office,Illegal Dumping,01/11/2011,716056.89,739067.61
327756,AGENT,GARDINER ROW 6,CLOSED,Central Area Office,Illegal Dumping,08/11/2011,715638.88,735277.70
319478,AGENT,ROSEGLEN AVENUE KILBARRACK 50,CLOSED,North Central Area Office,Illegal Dumping,21/10/2011,722406.70,738882.53
322052,AGENT,COWPER STREET ARBOUR HILL 11,CLOSED,Central Area Office,Illegal Dumping,26/10/2011,713791.32,735134.32
327090,AGENT,SAINT BENEDICT'S GARDENS PHIBSBOROUGH,CLOSED,Central Area Office,Illegal Dumping,07/11/2011,315712,235794
323336,AGENT,PEARSE STREET 113,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,717095.97,733927.54
322330,AGENT,INCHICORE TERRACE SOUTH INCHICORE 10,CLOSED,South Central Area Office,Illegal Dumping,26/10/2011,711676.97,733508.90
322364,AGENT,ECCLES STREET PHIBSBOROUGH MATER PRIVATE HOSPITAL,CLOSED,Central Area Office,Illegal Dumping,26/10/2011,715536.20,735606.92
322670,AGENT,PHILIPSBURGH AVENUE MARINO,CLOSED,North Central Area Office,Illegal Dumping,27/10/2011,317210,236152
323078,AGENT,ELMDALE PARK BALLYFERMOT,CLOSED,South Central Area Office,Illegal Dumping,28/10/2011,308038,233257
323154,AGENT,PEMBROKE ROAD BALLSBRIDGE 104 APARTMENT 12,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,717412.50,732803.93
323164,AGENT,PROSPECT SQUARE GLASNEVIN 6,CLOSED,Central Area Office,Illegal Dumping,28/10/2011,715008.45,736796.58
323240,AGENT,BAGGOT COURT DUBLIN 2,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,316561,233190
324364,AGENT,VIRGINIA DRIVE FINGLAS SOUTH 26E,CLOSED,North West Area Office,Illegal Dumping,01/11/2011,712144.66,738218.07
324346,AGENT,KIMMAGE ROAD LOWER KIMMAGE,CLOSED,South Central Area Office,Illegal Dumping,01/11/2011,313379,230405
321784,AGENT,GRANGEMORE LAWN DONAGHMEDE 33,CLOSED,North Central Area Office,Illegal Dumping,25/10/2011,722216.99,740252.63
322062,AGENT,PEMBROKE STREET UPPER 9,CLOSED,South East Area Office,Illegal Dumping,26/10/2011,716266.25,733009.89
322292,AGENT,CUMBERLAND STREET SOUTH DUBLIN 2,CLOSED,South East Area Office,Illegal Dumping,26/10/2011,316640,233794
323380,AGENT,HANOVER STREET EAST 1,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,716764.05,734220.12
323384,AGENT,PEMBROKE PLACE BALLSBRIDGE 9 PEMBROKE COTTAGE,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,717727.66,732401.14
320988,AGENT,TEMPLE VIEW COPSE CLAREHALL 48,CLOSED,North Central Area Office,Illegal Dumping,24/10/2011,721305.29,740222.90
321648,AGENT,WILFIELD ROAD BALLSBRIDGE 49,CLOSED,South East Area Office,Illegal Dumping,25/10/2011,718740.38,732134.75
322540,AGENT,PEMBROKE STREET UPPER 10,CLOSED,South East Area Office,Illegal Dumping,27/10/2011,716257.02,733004.59
321918,AGENT,GROVE PARK RATHMINES 92,CLOSED,South East Area Office,Illegal Dumping,25/10/2011,715566.56,732411.49
322810,AGENT,TUSCANY DOWNS RAHENY,CLOSED,North Central Area Office,Illegal Dumping,27/10/2011,321444,238554
323208,AGENT,MESPIL ROAD BALLSBRIDGE 75,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,716849.17,732933.90
323368,AGENT,MERRION STRAND SANDYMOUNT 61,CLOSED,South East Area Office,Illegal Dumping,28/10/2011,719359.76,731547.92
324400,AGENT,PEMBROKE ROW 2,CLOSED,South East Area Office,Illegal Dumping,01/11/2011,716655.31,733047.50
